"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.568,0.648,0.706,"IN","FullTime",0.5867
0.539,0.568,0.579,"IN","FullTime",0.6561
0.291,0.393,0.431,"IN","FullTime",0.5714
0.525,0.591,0.594,"IN","FullTime",0.7558
0.659,0.697,0.75,"IN","FullTime",0.7165
0.503,0.586,0.601,"IN","FullTime",0.6582
0.492,0.554,0.594,"IN","FullTime",0.5238
0.676,0.707,0.712,"IA","FullTime",0.8114
0.805,0.818,0.87,"IA","FullTime",0.868
0.662,0.702,0.72,"IA","FullTime",0.5912
0.467,0.48,0.602,"IA","FullTime",0.6923
0.644,0.661,0.67,"IA","FullTime",0.6211
0.702,0.731,0.768,"IA","FullTime",0.6697
0.432,0.514,0.595,"IA","FullTime",1
0.765,0.805,0.836,"IA","FullTime",0.8747
0.592,0.65,0.694,"IA","FullTime",0.5879
0.769,0.812,0.841,"IA","FullTime",0.8598
0.366,0.342,0.452,"IA","FullTime",0.75
0.801,0.795,0.783,"IA","FullTime",0.375
0.799,0.8,0.81,"IA","FullTime",0.75
0.739,0.778,0.817,"IA","FullTime",0.8132
0.682,0.653,0.701,"IA","FullTime",0.7722
0.734,0.769,0.781,"IA","FullTime",0.7815
0.718,0.727,0.737,"IA","FullTime",0.5592
0.589,0.655,0.724,"IA","FullTime",0.4621
0.795,0.786,0.809,"KS","FullTime",0.6807
0.34,0.375,0.437,"KS","FullTime",0.5244
0.582,0.641,0.683,"KS","FullTime",0.733
0.647,0.68,0.695,"KS","FullTime",0.7115
0.687,0.716,0.726,"KS","FullTime",0.7423
0.718,0.78,0.8,"KS","FullTime",0.8298
0.707,0.756,0.793,"KS","FullTime",0.8428
0.603,0.685,0.743,"KS","FullTime",0.5466
0.726,0.701,0.715,"KS","FullTime",0.6307
0.658,0.701,0.715,"KS","FullTime",0.735
0.627,0.685,0.722,"KS","FullTime",0.7267
0.671,0.696,0.707,"KS","FullTime",0.7254
0.757,0.793,0.784,"KY","FullTime",0.7224
0.537,0.635,0.775,"KY","FullTime",0.626
0.478,0.488,0.615,"KY","FullTime",0.6611
0.48,0.493,0.473,"KY","FullTime",0.5
0.476,0.595,0.638,"KY","FullTime",0.6235
0.539,0.602,0.654,"KY","FullTime",0.7343
0.384,0.449,0.517,"KY","FullTime",0.677
0.683,0.77,0.767,"KY","FullTime",0.8334
0.478,0.509,0.628,"KY","FullTime",0.5608
0.409,0.471,0.529,"KY","FullTime",0.5682
0.655,0.698,0.734,"KY","FullTime",0.8069
0.581,0.554,0.622,"KY","FullTime",0.8527
0.477,0.554,0.594,"KY","FullTime",0.7231
0.544,0.636,0.676,"KY","FullTime",0.7731
0.617,0.663,0.675,"KY","FullTime",0.7264
NA,NA,NA,"KY","FullTime",0.7417
0.661,0.688,0.76,"KY","FullTime",0.649
0.504,0.594,0.635,"KY","FullTime",0.6991
0.433,0.542,0.646,"LA","FullTime",0.7039
0.354,0.44,0.503,"LA","FullTime",0.6797
0.535,0.576,0.582,"LA","FullTime",0.5948
0.721,0.766,0.807,"LA","FullTime",0.8295
0.598,0.633,0.635,"LA","FullTime",0.6429
0.63,0.694,0.712,"LA","FullTime",0.8
0.591,0.647,0.66,"LA","FullTime",0.6807
0.568,0.632,0.673,"LA","FullTime",0.6235
0.61,0.659,0.653,"LA","FullTime",0.7012
0.574,0.613,0.648,"LA","FullTime",0.7208
0.555,0.615,0.611,"LA","FullTime",0.7564
0.642,0.71,0.694,"LA","FullTime",0.6897
0.791,0.815,0.785,"LA","FullTime",0.75
0.58,0.644,0.669,"LA","FullTime",0.6601
0.485,0.554,0.627,"LA","FullTime",0.6403
0.429,0.434,0.516,"LA","FullTime",0.5224
0.602,0.671,0.71,"LA","FullTime",0.7491
0.554,0.696,0.783,"LA","FullTime",0.7171
